序号,作品名称,作者,尺寸（厘米）,材质
1,巴颜喀拉山景观,周韶华,63×89．5,纸本水墨设色
2,巴颜喀拉山下,戴泽,80cm×140cm,布面油彩
3,黄河,吴长江,30cm*37cm,版画
4,黄河的故事(河之初),陈瑜烈,36×83,版画
5,光照塔尔寺,苏高礼,39.7×53.8,纸本油彩
6,祁连山下庆丰收,胡有全,80.5×54.5,版画
7,甘孜雪山,吴作人,29×38,纸本油彩
8,青海长云,朱乃正,160.5×140.5,布面油彩
9,筏涌大河下青海,左良,29.5×79,版画
10,宁夏之春,力群,38.7×29.5,版画
11,兰州黄河桥头瓜市,韩乐然,31.9×47.6,水彩
12,鄂尔多斯草原,叶浅予,46×35,纸本水墨设色
13,秦岭秋色,李平凡,53.5×47,纸本水墨设色
14,秦岭冬麓,石鲁,94.7×69.3,纸本水墨设色
15,秦岭山溪,崔振宽,230×158,纸本水墨
16,秦岭行,张仃,65×95,纸本水墨
17,秦岭横云,方济众,68.3×49.1,纸本水墨设色
18,秦岭家园,谌北新,120×80,布面油彩
19,陕北高秋,钱松嵒,34×28,纸本水墨设色
20,陕北风光,傅抱石,49×56.8,纸本水墨设色
21,陕北瑞雪,马波生,52.6×49,纸本水墨设色
22,陕北印象,曾先国,96×71,纸本水墨设色
23,陕北初冬,崔振宽,250×126,纸本水墨设色
24,陕北之春,修军,48.8×68.2,版画
25,陕北高原,靳尚谊,39.7×27,纸本油彩
26,黄河白茫茫,马建飞,80×100,布面油彩
27,黄土高原,洪志腾,69×91.6,布面油彩
28,陕北窑洞,宋仁伟,46.5×67,布面油彩
29,黄土高坡,燕飞,100×82,布面油彩
30,黄土高原,刘迅,60×72.5,布面油彩
31,黄河暮色（唯余茫茫）,王益鹏,100×90,布面油彩
32,黄河烟雨,白荻,27.1×39.4,水彩画
33,黄河渡,刘建友,39×53,版画
34,黄河人家,力群,40×35,版画
35,九曲黄河,赵振川,178×95.5,纸本水墨设色
36,黄河之滨多霜林,赵振川,68×137,纸本水墨设色
37,黄河曲,王威,56.5×51.7,版画
38,古河道,邓平祥,120×148,布面油彩
39,黄河之秋,谢冰毅,139×101,纸本水墨设色
40,万里黄河千里流,苗重安,73×83,纸本水墨设色
41,龙羊峡,关山月,155×130,纸本水墨设色
42,黄河龙门口,方济众,85.4×55.7,纸本水墨设色
43,黄河,靳尚谊,27×38,素描
44,黄河腹地,姚天沐,80×60,版画
45,太行九曲,王克举,186×160,布面油彩
46,挥彩中原,李建中,150×198,布面油彩
47,黄泛区故道,张东林,220×197,纸本水墨设色
48,黄河三门峡（从下游画三门峡）,吴作人,42×53.5,油画
49,黄河之滨,裴广铎,35×60,版画
50,渤海湾的晨光,周韶华,64×81,纸本水墨设色
51,军民合作修滩造田,石少华,37.5×48.5,摄影
52,子弟兵练习泅渡,石少华,37×49.5,摄影
53,水上游击队,石少华,36.5×49.5,摄影
54,渤海之滨,石少华,37×50.5,摄影
55,陇海前线的民兵担架队行进在黄河堤上,高帆,50.8×60.96,摄影
56,望黄河滚滚,刘旷,46×68,版画
57,强渡黄河,彦涵,15×25,版画
58,渡黄河（黄河从此非天险）,彦涵,20.5×35.3,版画
59,黄河东流去,李培戈,,综合
60,黄河东流去,李培戈,,综合
61,黄河东流去,李培戈,,综合
62,黄河东流去,李培戈,,综合
63,陕北好地方,庄言,26.5×18,油画
64,延安风景,古元,8.5×12.9,版画
65,东方欲晓,石鲁,83.6×68.6,纸本水墨设色
66,黄河赞歌,崔振宽,180×96,纸本水墨设色
67,激流,何海霞,66×136,纸本水墨重彩
68,黄河龙门,黄金程,120.5×90,纸本水墨设色
69,黄河水流泱泱,刘国松,138×69.5,纸本水墨设色
70,壶口之夏,黄正东,50×122.5,摄影
71,壶口,郉继有,80×200,油画
72,黄河胜概,欧豪年（台湾）,105×94,纸本水墨设色
73,黄河虎口龙王哨,靳之林,19×34,油画
74,狂澜交响曲,周韶华,121×245,纸本水墨设色
75,母亲的咆哮,蒋志鑫,143×357,纸本水墨设色
76,黄河在前进,谢瑞阶,95×179,纸本水墨设色
77,黄河春雷鸣,谢瑞阶,66.5×131,纸本水墨设色
78,大河史诗,徐惠君,180×410,纸本水墨设色
79,生生不息,张振学,129×148,纸本水墨设色
80,归船,安正中,85×73,纸本水墨设色
81,密云,钟涵,148×150,油画
82,激流中前进,杜键,290×197,油画
83,黄河在咆哮,王迎春、杨力舟,221×293.5,纸本水墨设色
84,义勇军进行曲,吴为山,215×176×120,雕塑
85,黄河大合唱——流亡·奋起·抗争,詹建俊、叶南,285×332,油画
86,黄河大合唱——流亡·奋起·抗争,詹建俊、叶南,280×435,油画
87,黄河大合唱——流亡·奋起·抗争,詹建俊、叶南,285×332,油画
88,黄河在咆哮,周至禹,59×79,宣传画
89,玫瑰色回忆,邢庆仁,180×166,纸本水墨设色
90,黄河魂,周韶华,62×95,纸本水墨设色
91,黄河,叶武林,90×180,油画
92,黄河,叶武林,90×180,油画
93,爷爷的河,尚扬,100.5×149.5,油画
94,黄河初醒,钟涵,70×127,油画
95,黄河母亲,何鄂,42×138×54,雕塑
96,好喜欢（3件）,卢波,42×138×54,雕塑
97,黄河谣·一方水土,崔国琦,62×130×113,雕塑
98,黄河谣·一方水土,崔国琦,29×51.2×57,雕塑
99,黄河,韩敬伟陈苏平,42.3×42.3,连环画
100,黄河,韩敬伟陈苏平,42.3×42.3,连环画
101,黄河,韩敬伟陈苏平,42.3×42.3,连环画
102,黄河,韩敬伟陈苏平,42.3×42.3,连环画
103,黄河·走来,陈强,70×53,影像
104,黄河上即将靠岸的渡船，河南,于德水,70×53,摄影
105,黄河渡口,朱宪民,70×53,摄影
106,黄河的故事（39幅）,刘宇廉,70×53,绢本水墨
107,黄河的故事（39幅）,刘宇廉,70×53,绢本水墨
108,黄河的故事（39幅）,刘宇廉,70×53,绢本水墨
109,黄河的故事（39幅）,刘宇廉,70×53,绢本水墨
110,黄河的传说,李晓林,70×53,版画
111,激流与石工,钟涵,120×120,油画
112,黄河,刘铁华,42.8×57.1,版画
113,黄水滔滔,方照华,47×36.5,版画
114,古代乐器,王维新,43×66,版画
115,延安宝塔山,姚钟华,37.5×54.5,水彩
116,黄河记忆,景育民,67.5×26.5×65,雕塑
117,敦煌之梦,唐勇力,135×135,纸本重彩
118,临敦煌莫高窟五代壁画,卢是,33.5×84.6,纸本水墨设色
119,莫高窟285窟·天井(水彩临摹),吴作人,27.5×39.5,水彩
120,莫高窟156洞(水彩临摹),吴作人,28.5×35.5,水彩
121,敦煌57窟初唐菩萨,马常利,53.5×38.5,油画
122,云岗寻梦,买鸿钧,250×150,纸本水墨设色
123,五台山佛光寺唐塑,吴冠中,43×38,水彩
124,黄河堵口图,司徒乔,43.5×319.6,素描
125,兰州新风景,李震坚、金浪,39.7×646.5,纸本水墨设色
126,秦岭工地,吴镜汀,142×72.5,纸本水墨设色
127,三门峡地质勘探,谢瑞阶,60.8×177.2,纸本水墨设色
128,三门峡工地,吴作人,118×150,油画
129,黄河三门峡工地之一,吴作人,19.5×27.5,素描
130,黄河三门峡工地之二,吴作人,19×27.5,素描
131,三门峡·中流砥柱,吴作人,19×27.5,素描
132,向黄河进军,李仲耘,56×86.5,纸本水墨设色
133,征服黄河,李桦,41×56,版画
134,黄河禹门口,何海霞,152.4×71,纸本水墨设色
135,黄河写生1／24（建设工地一角）,赵望云,34×47,纸本水墨设色
136,黄河写生19／24（坡田送肥）,赵望云,46×35,纸本水墨设色
137,黄河写生16／24（集场一角）,赵望云,35×47,纸本水墨设色
138,黄河写生12／24（夕阳河滩）,赵望云,34×41,纸本水墨设色
139,三门峡工地,钱松嵒,80.5×47.6,纸本水墨设色
140,黄河清,傅抱石,51.2×76,纸本水墨设色
141,黄河三门峡建筑工地,周路石,27.1×35.8,油画库
142,三门峡,钱松嵒,60.1×53.2,纸本水墨设色
143,耧声响遍黄河岸,力群,41×39,版画
144,引黄图,李玉滋,41×39,雕塑
145,龙羊峡之夜,张凭,95×95.5,纸本水墨设色
146,引黄入郑,冯自强,23.5×37.5,油画
147,黄河,董旭,31×44.5,版画
148,黄河新貌,刘岘,39×49,版画
149,陕北早春,刘军利,220×180,纸本水墨设色
